,choice,alt,time,fare,age,number_own_cars,chid,idx.chid,idx.alt
196,TRUE,1,0.245,1.4,0,0,66,66,1
197,FALSE,2,0.439,2.9,1,0,66,66,2
198,FALSE,3,0.1245,0.4926,0,1,66,66,3
199,TRUE,1,0.505,6.5,0,0,67,67,1
200,FALSE,2,1.539,19.2717,0,0,67,67,2
201,FALSE,3,0.8134,4.1924,0,1,67,67,3
202,TRUE,1,0.474,6.5,0,0,68,68,1
203,FALSE,2,1.399,18.5717,0,0,68,68,2
204,FALSE,3,0.7744,3.9904,0,1,68,68,3
205,TRUE,1,0.374,2.3,0,0,69,69,1
206,FALSE,2,1.345,10.2,0,0,69,69,2
207,FALSE,3,0.3765,1.8116,0,1,69,69,3
208,TRUE,1,0.798,4.8,0,0,70,70,1
209,FALSE,2,1.245,11.8056,0,0,70,70,2
210,FALSE,3,0.475,2.4748,0,1,70,70,3
211,TRUE,1,0.474,6.5,0,0,71,71,1
212,FALSE,2,1.686,18.5311,0,0,71,71,2
213,FALSE,3,0.7744,3.9904,0,1,71,71,3
214,TRUE,1,0.505,6.5,0,0,72,72,1
215,FALSE,2,1.967,20.3311,0,0,72,72,2
216,FALSE,3,0.8134,4.1924,0,1,72,72,3
217,TRUE,1,0.483,1.9,0,0,73,73,1
218,FALSE,2,0.684,5.2,0,0,73,73,2
219,FALSE,3,0.2224,1.0195,0,1,73,73,3
220,TRUE,1,0.374,2.3,0,0,74,74,1
221,FALSE,2,0.895,9.1056,0,0,74,74,2
222,FALSE,3,0.3765,1.8117,0,1,74,74,3
223,TRUE,1,0.685,5.7,0,0,75,75,1
224,FALSE,2,1.405,12.4,0,0,75,75,2
225,FALSE,3,0.4962,4.5068,0,1,75,75,3
226,TRUE,1,0.212,1.8,0,0,76,76,1
227,FALSE,2,0.439,2.4,0,0,76,76,2
228,FALSE,3,0.0969,0.3529,0,1,76,76,3
229,TRUE,1,0.212,1.8,0,0,77,77,1
230,FALSE,2,0.439,2.4,0,0,77,77,2
231,FALSE,3,0.0969,0.3529,0,1,77,77,3
232,TRUE,1,0.483,1.9,0,0,78,78,1
233,FALSE,2,0.646,5.2,0,0,78,78,2
234,FALSE,3,0.2224,1.0195,0,1,78,78,3
235,TRUE,1,0.685,5.7,0,0,79,79,1
236,FALSE,2,1.415,12.3,0,0,79,79,2
237,FALSE,3,0.4962,4.5068,0,1,79,79,3
238,TRUE,1,0.291,1.9,0,0,80,80,1
239,FALSE,2,0.811,6.6,0,0,80,80,2
240,FALSE,3,0.1939,0.9051,0,1,80,80,3
241,TRUE,1,0.296,1.9,0,0,81,81,1
242,FALSE,2,0.881,5.2,0,0,81,81,2
243,FALSE,3,0.2122,0.9683,0,1,81,81,3
244,TRUE,1,0.291,1.9,0,0,82,82,1
245,FALSE,2,1.149,6.2,0,0,82,82,2
246,FALSE,3,0.1939,0.9051,0,1,82,82,3
247,TRUE,1,0.296,1.9,0,0,83,83,1
248,FALSE,2,0.887,5.2,0,0,83,83,2
249,FALSE,3,0.2122,0.9683,0,1,83,83,3
250,TRUE,1,0.464,3.2,0,0,84,84,1
251,FALSE,2,0.908,7.3406,0,0,84,84,2
252,FALSE,3,0.3271,1.6273,0,1,84,84,3
253,TRUE,1,0.493,3.2,0,0,85,85,1
254,FALSE,2,1.657,11.9461,0,0,85,85,2
255,FALSE,3,0.3425,1.6635,0,1,85,85,3
256,TRUE,1,0.464,3.2,0,0,86,86,1
257,FALSE,2,0.894,7.3406,0,0,86,86,2
258,FALSE,3,0.3271,1.6273,0,1,86,86,3
259,TRUE,1,0.493,3.2,0,0,87,87,1
260,FALSE,2,1.325,13.1,0,0,87,87,2
261,FALSE,3,0.3425,1.6635,0,1,87,87,3
262,TRUE,1,0.31,1.9,0,0,88,88,1
263,FALSE,2,1.056,5.6,0,0,88,88,2
264,FALSE,3,0.1876,0.8897,0,1,88,88,3
265,TRUE,1,0.583,2.3,0,0,89,89,1
266,FALSE,2,1.197,7.3,0,0,89,89,2
267,FALSE,3,0.2865,1.3593,0,1,89,89,3
268,TRUE,1,0.348,2.3,0,0,90,90,1
269,FALSE,2,0.702,5.4,0,0,90,90,2
270,FALSE,3,0.2222,1.0656,0,1,90,90,3
271,TRUE,1,0.31,1.9,0,0,91,91,1
272,FALSE,2,1.071,5.6,0,0,91,91,2
273,FALSE,3,0.1876,0.8897,0,1,91,91,3
274,TRUE,1,0.556,2.3,0,0,92,92,1
275,FALSE,2,0.678,5.2,0,0,92,92,2
276,FALSE,3,0.2432,1.1261,0,1,92,92,3
277,TRUE,1,0.348,2.3,0,0,93,93,1
